name,gcode,bsMtxNoSrt,primMatrix,isPrim,phi,phi_sym,inPoly,outPoly,inv_phi,bar_phi,invbar_phi,sym_type,mFilling(w/Gcode),genus,arrowpoly,cable_arr_poly,namel,name0
"<a href=""/flatknot/3.1"">3.1</a>",O1O2O3U1U3U2,"[[ 0 -2  1  1]
 [ 2  0  2  1]
 [-1 -2  0  0]
 [-1 -1  0  0]]","[[ 0  1  1 -2]
 [-1  0  0 -1]
 [-1  0  0 -2]
 [ 2  1  2  0]]",True,"[-1, -1, 2, 0, 1, 2]","[-2, 1, 1, 1, 2, 0]",t^{3} + 5 t,t^{4} + 11 t^{2} + 1,"[-2, 1, 1, 1, 2, 0]","[-1, -1, 2, 0, 1, 2]","[-2, 1, 1, 1, 2, 0]","[0, 1, 0]","[[{1, 3}, {2}], [{2, 3}, {1}], [{3}, {1, 2}]]",1,- 2 K_1^2 + K_2,48*K1**2*K2 - 64*K1**2 + 32*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 40*K2**2 - 16*K3**2 - 2*K4**2 + 40,"<a href=""/flatknot/3.1"">3.1</a>",3.1
"<a href=""/flatknot/4.1"">4.1</a>",O1O2O3O4U1U2U4U3,"[[ 0 -3 -1  2  2]
 [ 3  0  1  3  2]
 [ 1 -1  0  2  1]
 [-2 -3 -2  0  0]
 [-2 -2 -1  0  0]]","[[ 0  2  2 -1 -3]
 [-2  0  0 -1 -2]
 [-2  0  0 -2 -3]
 [ 1  1  2  0 -1]
 [ 3  2  3  1  0]]",True,"[-2, -2, 1, 3, 0, 1, 2, 2, 3, 1]","[-3, -1, 2, 2, 1, 2, 3, 1, 2, 0]",t^{4} + 19 t^{2} + 1,t^{5} + 37 t^{3} + 11 t,"[-3, -1, 2, 2, 1, 2, 3, 1, 2, 0]","[-2, -2, 1, 3, 0, 1, 2, 2, 3, 1]","[-3, -1, 2, 2, 1, 2, 3, 1, 2, 0]","[0, 1, 0]","[[{1, 4}, {2, 3}], [{2, 4}, {1, 3}], [{3, 4}, {1, 2}], [{3, 4}, {2}, {1}]]",1,- 2 K_1 K_2 + K_1 + K_3 + 1,-128*K1**2*K2**2 + 48*K1**2*K2 - 88*K1**2 + 64*K1*K2**3*K3 + 224*K1*K2*K3 + 16*K1*K3*K4 - 32*K2**4 - 64*K2**2*K3**2 - 8*K2**2*K4**2 + 8*K2**2*K4 - 54*K2**2 + 16*K2*K3*K5 + 8*K2*K4*K6 - 88*K3**2 - 12*K4**2 - 2*K6**2 + 90,"<a href=""/flatknot/4.1"">4.1</a>",4.1
"<a href=""/flatknot/4.2"">4.2</a>",O1O2O3O4U1U3U4U2,"[[ 0 -3  1  0  2]
 [ 3  0  3  1  2]
 [-1 -3  0 -1  1]
 [ 0 -1  1  0  1]
 [-2 -2 -1 -1  0]]","[[ 0  2  1  0 -3]
 [-2  0 -1 -1 -2]
 [-1  1  0 -1 -3]
 [ 0  1  1  0 -1]
 [ 3  2  3  1  0]]",True,"[-2, -1, 0, 3, 1, 1, 2, 1, 3, 1]","[-3, 0, 1, 2, 1, 3, 2, 1, 1, 1]",t^{4} + 17 t^{2},t^{5} + 31 t^{3} + 7 t,"[-3, 0, 1, 2, 2, 1, 3, 0, 1, 0]","[-2, -1, 0, 3, 0, 1, 3, 0, 1, 2]","[-3, 0, 1, 2, 1, 3, 2, 1, 1, 1]","[0, 0, 0]","[[{1, 4}, {2, 3}], [{2, 4}, {1, 3}], [{3, 4}, {1, 2}], [{4}, {2, 3}, {1}]]",1,4 K_1^3 - 2 K_1^2 - 2 K_1 K_2 - 2 K_1 + K_2 + 2,-32*K1**4 + 64*K1**2*K2**3 - 208*K1**2*K2**2 + 224*K1**2*K2 - 164*K1**2 + 32*K1*K2**3*K3 + 136*K1*K2*K3 + 8*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 88*K2**4 - 32*K2**2*K3**2 - 8*K2**2*K4**2 + 40*K2**2*K4 - 48*K2**2 + 8*K2*K3*K5 - 36*K3**2 - 14*K4**2 + 116,"<a href=""/flatknot/4.2"">4.2</a>",4.2
"<a href=""/flatknot/4.3"">4.3</a>",O1O2O3O4U1U4U3U2,"[[ 0 -3  1  1  1]
 [ 3  0  3  2  1]
 [-1 -3  0  0  0]
 [-1 -2  0  0  0]
 [-1 -1  0  0  0]]","[[ 0  1  1  1 -3]
 [-1  0  0  0 -1]
 [-1  0  0  0 -2]
 [-1  0  0  0 -3]
 [ 3  1  2  3  0]]",True,"[-1, -1, -1, 3, 0, 0, 1, 0, 2, 3]","[-3, 1, 1, 1, 1, 2, 3, 0, 0, 0]",t^{4} + 14 t^{2},t^{5} + 26 t^{3} + 6 t,"[-3, 1, 1, 1, 1, 2, 3, 0, 0, 0]","[-1, -1, -1, 3, 0, 0, 1, 0, 2, 3]","[-3, 1, 1, 1, 1, 2, 3, 0, 0, 0]","[0, 1, 0]","[[{1, 4}, {2, 3}], [{2, 4}, {1, 3}], [{2, 4}, {3}, {1}], [{3, 4}, {1, 2}]]",1,- 2 K_1 K_2 + K_1 + K_3 + 1,-72*K1**2 + 96*K1*K2*K3 + 48*K1*K3*K4 - 8*K2**2*K4**2 + 40*K2**2*K4 - 86*K2**2 + 8*K2*K4*K6 - 72*K3**2 - 44*K4**2 - 2*K6**2 + 90,"<a href=""/flatknot/4.3"">4.3</a>",4.3
"<a href=""/flatknot/4.4"">4.4</a>",O1O2O3O4U2U1U4U3,"[[ 0 -2 -2  2  2]
 [ 2  0  0  3  2]
 [ 2  0  0  2  1]
 [-2 -3 -2  0  0]
 [-2 -2 -1  0  0]]","[[ 0  2  2 -2 -2]
 [-2  0  0 -1 -2]
 [-2  0  0 -2 -3]
 [ 2  1  2  0  0]
 [ 2  2  3  0  0]]",True,"[-2, -2, 2, 2, 0, 1, 2, 2, 3, 0]","[-2, -2, 2, 2, 0, 1, 2, 2, 3, 0]",t^{4} + 18 t^{2} + 1,t^{5} + 34 t^{3} + 17 t,"[-2, -2, 2, 2, 0, 1, 2, 2, 3, 0]","[-2, -2, 2, 2, 0, 1, 2, 2, 3, 0]","[-2, -2, 2, 2, 0, 1, 2, 2, 3, 0]","[1, 1, 1]","[[{2, 4}, {1, 3}]]",0,1,-128*K2**4 + 128*K2**2*K4 - 32*K4**2 + 30,"<a href=""/flatknot/4.4"">4.4</a>",4.4
"<a href=""/flatknot/4.5"">4.5</a>",O1O2O3O4U3U4U1U2,"[[ 0 -1  1 -1  1]
 [ 1  0  1 -1  1]
 [-1 -1  0 -1  1]
 [ 1  1  1  0  1]
 [-1 -1 -1 -1  0]]","[[ 0  1  1 -1 -1]
 [-1  0  1 -1 -1]
 [-1 -1  0 -1 -1]
 [ 1  1  1  0  1]
 [ 1  1  1 -1  0]]",True,"[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1]","[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1]",t^{4} + 6 t^{2} + 1,t^{5} + 10 t^{3} + 5 t,"[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1]","[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1]","[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1]","[1, 1, 1]","[[{3, 4}, {1, 2}]]",0,- 4 K_1^2 + 2 K_2 + 3,-256*K1**4 - 448*K1**2*K2**2 + 480*K1**2*K2 - 16*K1**2 + 256*K1*K2*K3 - 176*K2**4 + 96*K2**2*K4 - 16*K3**2 - 4*K4**2 + 82,"<a href=""/flatknot/4.5"">4.5</a>",4.5
"<a href=""/flatknot/4.6"">4.6</a>",O1O2O3U1O4U3U4U2,"[[ 0 -2  1  0  1]
 [ 2  0  2  1  1]
 [-1 -2  0 -1  1]
 [ 0 -1  1  0  1]
 [-1 -1 -1 -1  0]]","[[ 0  1  1  0 -2]
 [-1  0  1 -1 -2]
 [-1 -1  0 -1 -1]
 [ 0  1  1  0 -1]
 [ 2  2  1  1  0]]",True,"[-1, -1, 0, 2, -1, 1, 2, 1, 1, 1]","[-2, 0, 1, 1, 1, 1, 2, 0, 0, -1]",t^{4} + 9 t^{2},t^{5} + 15 t^{3} + 3 t,"[-2, 0, 1, 1, 1, 1, 2, 0, 0, -1]","[-1, -1, 0, 2, -1, 0, 2, 0, 1, 1]","[-2, 0, 1, 1, 1, 1, 2, 1, 1, -1]","[0, 0, 0]","[[{1, 4}, {2, 3}], [{2, 4}, {1, 3}], [{3, 4}, {1, 2}], [{3, 4}, {2}, {1}]]",1,- 2 K_1^2 + K_2 + 2,-32*K1**4 - 48*K1**2*K2**2 + 128*K1**2*K2 - 84*K1**2 + 48*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 56*K2**2 - 12*K3**2 - 2*K4**2 + 56,"<a href=""/flatknot/4.6"">4.6</a>",4.6
"<a href=""/flatknot/4.7"">4.7</a>",O1O2O3U2O4U1U4U3,"[[ 0 -2 -1  2  1]
 [ 2  0  0  3  1]
 [ 1  0  0  1  0]
 [-2 -3 -1  0  0]
 [-1 -1  0  0  0]]","[[ 0  2  1 -1 -2]
 [-2  0  0 -1 -3]
 [-1  0  0  0 -1]
 [ 1  1  0  0  0]
 [ 2  3  1  0  0]]",True,"[-2, -1, 1, 2, 0, 1, 3, 0, 1, 0]","[-2, -1, 1, 2, 0, 1, 3, 0, 1, 0]",t^{4} + 11 t^{2} + 1,t^{5} + 21 t^{3} + 5 t,"[-2, -1, 1, 2, 1, 2, 1, 2, 2, 1]","[-2, -1, 1, 2, 1, 2, 1, 2, 2, 1]","[-2, -1, 1, 2, 0, 1, 3, 0, 1, 0]","[0, 0, 1]","[[{2, 4}, {1, 3}]]",0,- 4 K_1^2 + 2 K_2 + 3,-64*K1**4 - 96*K1**2*K2**2 + 256*K1**2*K2 - 184*K1**2 + 112*K1*K2*K3 + 16*K1*K3*K4 - 16*K2**4 + 16*K2**2*K4 - 120*K2**2 - 40*K3**2 - 12*K4**2 + 130,"<a href=""/flatknot/4.7"">4.7</a>",4.7
"<a href=""/flatknot/4.8"">4.8</a>",O1O2O3U1U3O4U2U4,"[[ 0 -2  0  1  1]
 [ 2  0  2  1  1]
 [ 0 -2  0  0  1]
 [-1 -1  0  0  0]
 [-1 -1 -1  0  0]]","[[ 0  1  1  0 -2]
 [-1  0  0  0 -1]
 [-1  0  0 -1 -1]
 [ 0  0  1  0 -2]
 [ 2  1  1  2  0]]",True,"[-1, -1, 0, 2, 0, 0, 1, 1, 1, 2]","[-2, 0, 1, 1, 0, 2, 2, 0, 1, 0]",t^{4} + 7 t^{2} + 1,t^{5} + 13 t^{3} + 6 t,"[-2, 0, 1, 1, 0, 2, 2, 0, 1, 0]","[-1, -1, 0, 2, 0, 0, 2, 1, 2, 0]","[-2, 0, 1, 1, 2, 1, 1, 0, 1, 0]","[0, 0, 0]","[[{1, 4}, {2, 3}], [{2, 4}, {1, 3}], [{3, 4}, {1, 2}], [{4}, {2, 3}, {1}]]",1,- 2 K_1^2 + K_2 + 2,-96*K1**4 - 112*K1**2*K2**2 + 248*K1**2*K2 - 172*K1**2 + 184*K1*K2*K3 + 24*K1*K3*K4 - 8*K2**4 + 16*K2**2*K4 - 144*K2**2 - 76*K3**2 - 18*K4**2 + 152,"<a href=""/flatknot/4.8"">4.8</a>",4.8
"<a href=""/flatknot/4.9"">4.9</a>",O1O2U1O3U2O4U3U4,"[[ 0 -1  0  0  1]
 [ 1  0  1  1  0]
 [ 0 -1  0  1  1]
 [ 0 -1 -1  0  1]
 [-1  0 -1 -1  0]]","[[ 0  1  0  0 -1]
 [-1  0 -1 -1  0]
 [ 0  1  0  1 -1]
 [ 0  1 -1  0 -1]
 [ 1  0  1  1  0]]",True,"[-1, 0, 0, 1, 1, 1, 0, -1, 1, 1]","[-1, 0, 0, 1, 0, 0, 2, -1, 0, 0]",t^{4} + 5 t^{2},t^{5} + 7 t^{3} + 2 t,"[-1, 0, 0, 1, 0, 0, 2, -1, 0, 0]","[-1, 0, 0, 1, 0, 0, 2, -1, 0, 0]","[-1, 0, 0, 1, 1, 1, 0, -1, 1, 1]","[0, 0, 1]","[[{1, 4}, {2, 3}]]",0,1,-96*K1**4 + 176*K1**2*K2 - 80*K1**2 - 64*K2**2 + 62,"<a href=""/flatknot/4.9"">4.9</a>",4.9
